,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
24143,43966,IN-0011,medium_airport,Jakkur Aerodrome,13.07674,77.597645,3013.0,AS,IN,IN-KA,Bengaluru,no,VOJK,,,,https://en.wikipedia.org/wiki/Jakkur_Aerodrome,
50863,3288,VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,1000.0,AS,IN,IN-MP,Rewa,no,VA1G,REW,VA1G,,,
50951,26431,VAAH,medium_airport,Sardar Vallabhbhai Patel International Airport,23.0771999359,72.63469696039998,189.0,AS,IN,IN-GJ,Ahmedabad,yes,VAAH,AMD,,,http://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,Gandhinagar Air Force Station
50952,26432,VAAK,medium_airport,Akola Airport,20.698999,77.058601,999.0,AS,IN,IN-MM,Akola,no,VAAK,AKD,,,https://en.wikipedia.org/wiki/Akola_Airport,
50953,26433,VAAU,medium_airport,Aurangabad Airport,19.862699508666992,75.39810180664062,1911.0,AS,IN,IN-MM,Aurangabad,yes,VAAU,IXU,,http://aai.aero/allAirports/aurangabad_generalinfo.jsp,http://en.wikipedia.org/wiki/Aurangabad_Airport,Chikkalthana Airport
50954,26434,VABB,large_airport,Chhatrapati Shivaji International Airport,19.088699340799998,72.8678970337,39.0,AS,IN,IN-MM,Mumbai,yes,VABB,BOM,,http://www.csia.in/,http://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,"Bombay, Sahar International Airport"
50955,26435,VABI,medium_airport,Bilaspur Airport,21.9884,82.111,899.0,AS,IN,IN-CT,Bilaspur,no,VEBU,PAB,,,https://en.wikipedia.org/wiki/Bilaspur_Airport,VABI
50956,26436,VABJ,medium_airport,Bhuj Airport,23.2877998352,69.6701965332,268.0,AS,IN,IN-GJ,Bhuj,yes,VABJ,BHJ,,http://aai.aero/allAirports/bhuj_generalinfo.jsp,http://en.wikipedia.org/wiki/Bhuj_Airport,"Bhuj Rudra Mata Air Force Station, Shyamji Krishna Verma, Bhuj Airport"
50957,26437,VABM,medium_airport,Belgaum Airport,15.8592996597,74.6183013916,2487.0,AS,IN,IN-KA,Belgaum,yes,VOBM,IXG,,,http://en.wikipedia.org/wiki/Belgaum_Airport,VABM
50958,26438,VABO,medium_airport,Vadodara Airport,22.336201000000003,73.226303,129.0,AS,IN,IN-GJ,Vadodara,yes,VABO,BDQ,,http://aai.aero/allAirports/vadodara_generalinfo.jsp,http://en.wikipedia.org/wiki/Vadodara_Airport,Civil Airport Harni
50959,26439,VABP,medium_airport,Raja Bhoj International Airport,23.2875003815,77.33740234380001,1711.0,AS,IN,IN-MP,Bhopal,yes,VABP,BHO,,http://aai.aero/allAirports/bhopal_generalinfo.jsp,http://en.wikipedia.org/wiki/Bhopal_Airport,
50960,26440,VABV,medium_airport,Bhavnagar Airport,21.752199173,72.18520355220001,44.0,AS,IN,IN-GJ,Bhavnagar,yes,VABV,BHU,,http://aai.aero/allAirports/bhavnagar.jsp,http://en.wikipedia.org/wiki/Bhavnagar_Airport,
50961,26441,VADN,medium_airport,Daman Airport,20.43440055847168,72.84320068359375,33.0,AS,IN,IN-DD,,no,VADN,NMB,,,http://en.wikipedia.org/wiki/Daman_Airport,
50964,26444,VAGO,large_airport,Dabolim Airport,15.3808002472,73.83139801029999,150.0,AS,IN,IN-GA,Vasco da Gama,yes,VOGO,GOI,,,http://en.wikipedia.org/wiki/Dabolim_Airport,"Goa Airport, Dabolim Navy Airbase, दाबोळी विमानतळ"
50965,26445,VAHB,medium_airport,Hubli Airport,15.361700058,75.08489990230001,2171.0,AS,IN,IN-KA,Hubli,yes,VOHB,HBX,,http://www.airportsindia.org.in/allAirports/hubli_generalinfo.jsp,http://en.wikipedia.org/wiki/Hubli_Airport,VAHB
50966,26446,VAID,medium_airport,Devi Ahilyabai Holkar Airport,22.721799850500002,75.8011016846,1850.0,AS,IN,IN-MP,Indore,yes,VAID,IDR,,http://aai.aero/allAirports/indore_technicalinfo.jsp,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,
50967,26447,VAJB,medium_airport,Jabalpur Airport,23.17779922485352,80.052001953125,1624.0,AS,IN,IN-MP,,yes,VAJB,JLR,,,http://en.wikipedia.org/wiki/Jabalpur_Airport,
50969,26448,VAJM,medium_airport,Jamnagar Airport,22.465499877929688,70.01260375976561,69.0,AS,IN,IN-GJ,Jamnagar,yes,VAJM,JGA,,,http://en.wikipedia.org/wiki/Jamnagar_Airport,Jamnagar Air Force Station
50970,26449,VAKE,medium_airport,Kandla Airport,23.1127,70.10030400000001,96.0,AS,IN,IN-GJ,Kandla,yes,VAKE,IXY,,http://aai.aero/allAirports/kandla_generalinfo.jsp,http://en.wikipedia.org/wiki/Kandla_Airport,
50971,26450,VAKJ,medium_airport,Khajuraho Airport,24.817199706999997,79.91860198970001,728.0,AS,IN,IN-MP,Khajuraho,yes,VAKJ,HJR,,http://www.aai.aero/allAirports/khajuraho_generalinfo.jsp,http://en.wikipedia.org/wiki/Khajuraho_Airport,
50972,26451,VAKP,medium_airport,Kolhapur Airport,16.664699554400002,74.2893981934,1996.0,AS,IN,IN-MM,,yes,VAKP,KLH,,,http://en.wikipedia.org/wiki/Kolhapur_Airport,
50973,26452,VAKS,medium_airport,Keshod Airport,21.317100524902344,70.27040100097656,167.0,AS,IN,IN-GJ,,no,VAKS,IXK,,,,
50974,30180,VAND,medium_airport,Nanded Airport,19.1833000183,77.31670379639998,1250.0,AS,IN,IN-MM,Nanded,yes,VAND,NDC,,,http://en.wikipedia.org/wiki/Nanded_Airport,
